9,79,7.4,24.6,-88.3
38,100,8,26.7,-51
21,99,5.2,27.3,-52.8
145,170,9466.1,14.4,-50.9
137,1227,9.2,24.6,-96.7
154,1989,7645.2,21.9,-90.3
12,22,5.4,21.6,-78.8
98,93,2.6,18,-73.1
162,1717,5.4,15.3,-76.8
142,59,7.5,18,-68.7
181,18,2.9,24,-74.9
11,541,6,21.6,-60.4
25,29,0.6,23.1,-64.5
45,39,6.1,25.8,-71.5
106,23,5.7,15.3,-92.2
134,47,2.9,21,-68.7
197,40,9.8,25.8,-53.7
178,16,7,17.7,-50.8
94,85,1658.7,27,-63.8
34,61,2.2,24.3,-90.7
51,86,8.7,18.3,-57
52,60,3140.6,21.9,-93.6
26,68,6.6,27,-62.8
108,85,5.2,16.8,-97.7
199,19,8.6,12.9,-67.5
54,90,6,23.1,-97.1
91,24,2.4,21.9,-54
115,58,5103.5,16.5,-91.4
151,57,1.4,28.5,-95.6
42,31,9699.7,28.8,-84.8
74,80,0.4,21,-66.4
191,14,5298.5,24.6,-89.8
35,51,9.3,21.3,-51.2
56,87,7.1,17.4,-98.1
17,1834,9.7,12.6,-75.4
43,76,2.5,17.4,-67.9
16,53,1.8,24,-79.8
14,630,7.6,15,-97.2
5,77,5.9,16.5,-68.5
73,1092,6.5,27.6,-89.3
105,64,5.2,23.1,-68.5
81,12,6.4,23.7,-80.3
125,1234,2.6,13.8,-60.2
120,434,4.3,16.2,-56
8,1472,1.1,26.1,-61
89,71,1140.5,23.4,-64.9
76,1970,8.6,13.8,-79
90,86,5.4,24,-67.8
147,1399,5.1,21.6,-96.1
156,84,4.7,28.8,-81
122,91,5.2,12.9,-78.1
189,57,4.9,25.2,-79.7
157,59,3.8,19.5,-86.3
183,73,1.9,24.3,-88.5
82,1220,6419.8,13.8,-63.1
200,1921,0.1,25.5,-56
140,79,1,13.2,-61.3
60,78,9.5,23.7,-98.3
198,909,7.8,21.3,-72.3
100,63,8286.1,21.6,-70.6
62,28,5.6,25.2,-87.7
87,87,6.9,17.1,-80.1
187,41,1.9,16.5,-59.6
119,92,9,25.8,-84.9
167,38,2.1,29.1,-75.5
139,631,10,15.3,-60.9
53,280,4523.2,18.9,-77.5
93,42,6.5,14.1,-58.3
158,345,2.2,28.8,-66.1
72,13,7291.6,26.4,-95.7
165,80,9.4,25.2,-50.9
161,90,8240.6,26.4,-71.7
101,13,4489.7,22.5,-89.6
102,43,2.8,18.6,-95.3
22,71,6821.6,15.3,-96.9
185,50,6.1,27.9,-98.8
31,85,6686.2,28.2,-83.3
168,1412,7.8,25.5,-72.2
44,1459,1.3,18.6,-57.7
24,81,9,21,-68.6
146,244,5.8,24,-70
103,131,9.8,17.4,-89.5
13,1759,1.5,15,-87.3
19,77,2.7,17.7,-67.4
96,14,8.9,18.6,-83.6
18,802,8719.2,15,-73.8
166,13,0.8,16.2,-93.8
69,89,4.7,22.2,-77.4
3,1632,6.5,13.2,-50.3
186,59,1.4,19.8,-80
23,1642,1.6,24.9,-96.9
27,18,5.6,27.6,-85.4
152,60,3,22.8,-72.4
86,963,9.8,20.4,-63
159,1564,6604.8,26.7,-84.1
1,25,0.7,18,-75.3
6,26,5.3,18.9,-68.6
196,11,3258.3,15,-62.3
92,16,6.2,23.7,-65.3
136,594,3120.2,12.9,-93.2
